year,award,title,author
2015,Shortlist,The Bees,Laline Paull
2015,Shortlist,A God In Every Stone,Kamila Shamsie
2015,Winner,How To Be Both,Ali Smith
2015,Shortlist,A Spool Of Blue Thread,Anne Tyler
2015,Shortlist,The Paying Guests,Sarah Waters
2015,Shortlist,Outline,
2015,Longlist,The Life Of A Banana,PP Wong
2015,Longlist,The Shore,Sara Taylor
2015,Longlist,The Walk Home,Rachel Seiffert
2015,Longlist,The Table Of Less Valued Knights,Marie Phillips
2015,Longlist,The Country Of Ice Cream Star,Sandra Newman
2015,Longlist,Station Eleven,Emily St. John Mandel
2015,Longlist,Elizabeth Is Missing,Emma Healey
2015,Longlist,Dear Thief,Samantha Harvey
2015,Longlist,I Am China,Xiaolu Guo
2015,Longlist,Aren’t We Sisters?,Patricia Ferguson
2015,Longlist,Crooked Heart,Lissa Evans
2015,Longlist,The Girl Who Was Saturday Night,Heather O’Neill
2014,Winner,A Girl Is A Half Formed Thing,Eimear McBride
2014,Shortlist,Americanah,Chimamanda Ngozi Adichie
2014,Shortlist,Burial Rites,Hannah Kent
2014,Shortlist,The Undertaking,Audrey Magee
2014,Shortlist,The Goldfinch,Donna Tartt
2014,Shortlist,The Lowland,Jhumpa Lahiri
2014,Longlist,"All The Birds, Singing",Evie Wyld
2014,Longlist,The Burgess Boys,Elizabeth Strout
2014,Longlist,Still Life With Bread Crumbs,Anna Quindlen
2014,Longlist,Almost English,Charlotte Mendelson
2014,Longlist,The Flamethrowers,Rachel Kushner
2014,Longlist,The Signature Of All Things,Elizabeth Gilbert
2014,Longlist,Reasons She Goes To The Woods,Deborah Kay Davies
2014,Longlist,The Luminaries,Eleanor Catton
2014,Longlist,The Strangler Vine,M. J. Carter
2014,Longlist,The Bear,Claire Cameron
2014,Longlist,The Shadow Of The Crescent Moon,Fatima Bhutto
2014,Longlist,The Dogs Of Littlefield,Suzanne Berne
2014,Longlist,Madd Addam,MaddAddam
2014,Longlist,Eleven Days,Lea Carpenter
2013,Shortlist,"Where’d You Go, Bernadette",Maria Semple
2013,Winner,May We Be Forgiven,A.M. Homes
2013,Shortlist,Nw,Zadie Smith
2013,Shortlist,Life After Life,Kate Atkinson
2013,Shortlist,Bring Up The Bodies,Hilary Mantel
2013,Shortlist,Flight Behaviour,Barbara Kingsolver
2013,Longlist,Alif The Unseen,
2013,Longlist,Lamb,
2013,Longlist,How Should A Person Be?,Sheila Heti
2013,Longlist,The People Of Forever Are Not Afraid,
2013,Longlist,Mateship With Birds,Carrie Tiffany
2013,Longlist,The Forrests,Emily Perkins
2013,Longlist,Honour,Elif Shafak
2013,Longlist,Gone Girl,Gillian Flynn
2013,Longlist,The Marlowe Papers,Ros Barber
2013,Longlist,The Innocents,Francesca Segal
2013,Longlist,The Light Between Oceans,M L Stedman
2013,Longlist,The Red Book,Deborah Copaken Kogan
2013,Longlist,Ignorance,Michele Roberts
2013,Longlist,A Trick I Learned From Dead Men,Kitty Aldridge
2012,Shortlist,The Song Of Achilles,Madeline Miller
2012,Shortlist,State Of Wonder,Ann Patchett
2012,Winner,The Song Of Achilles,Madeline Miller
2012,Shortlist,Foreign Bodies,Cynthia Ozick
2012,Shortlist,Half Blood Blues,Esi Edugyan
2012,Shortlist,Painter Of Silence,Georgina Harding
2012,Shortlist,The Forgotten Waltz,Anne Enright
2012,Longlist,The Submission,Amy Waldman
2012,Longlist,Tides Of War,Stella Tillyard
2012,Longlist,The Pink Hotel,Anna Stothard
2012,Longlist,There But For The,Ali Smith
2012,Longlist,The Night Circus,Erin Morgenstern
2012,Longlist,The Blue Book,
2012,Longlist,The Translation Of The Bones,Francesca Kay
2012,Longlist,Gillespie And I,Jane Harris
2012,Longlist,Island Of Wings,Karin Altenberg
2012,Longlist,On The Floor,Aifric Campbell
2012,Longlist,The Flying Man,Roopa Farooki
2012,Longlist,Lord Of Misrule,Jaimy Gordon
2012,Longlist,The Sealed Letter,Emma Donoghue
2012,Longlist,The Grief Of Others,Leah Cohen
2011,Shortlist,Great House,Nicole Krauss
2011,Shortlist,Annabel,Kathleen Winter
2011,Winner,The Tiger’s Wife,Téa Obreht
2011,Shortlist,Grace Williams Says It Loud,Emma Henderson
2011,Shortlist,The Memory Of Love,Aminatta Forna
2011,Shortlist,Room,Emma Donoghue
2011,Longlist,The Swimmer,Roma Tearne
2011,Longlist,The Secret Lives Of Baba Segi’s Wives,Lola Shoneyin
2011,Longlist,Swamplandia!,Karen Russell
2011,Longlist,Repeat It Today With Tears,Anne Peile
2011,Longlist,The Invisible Bridge,Julie Orringer
2011,Longlist,The Road To Wanting,Wendy Law-Yone
2011,Longlist,The Birth Of Love,Joanna Kavenna
2011,Longlist,The Seas,Samantha Hunt
2011,Longlist,The London Train,Tessa Hadley
2011,Longlist,A Visit From The Goon Squad,Jennifer Egan
2011,Longlist,Whatever You Love,Louise Doughty
2011,Longlist,The Pleasure Seekers,Tishani Doshi
2011,Longlist,Jamrach’s Menagerie,Carol Birch
2011,Longlist,Lyrics Alley,Leila Aboulela
2010,Shortlist,The White Woman On The Green Bicycle,Monique Roffey
2010,Shortlist,A Gate At The Stairs,Lorrie Moore
2010,Shortlist,Wolf Hall,Hilary Mantel
2010,Shortlist,Black Water Rising,Attica Locke
2010,Winner,The Lacuna,Barbara Kingsolver
2010,Shortlist,The Very Thought Of You,Rosie Alison
2010,Longlist,The Little Stranger,Sarah Waters
2010,Longlist,The Help,Kathryn Stockett
2010,Longlist,The Still Point,Amy Sackville
2010,Longlist,Black Mamba Boy,Nadifa Mohamed
2010,Longlist,The Wilding,Maria McCann
2010,Longlist,The Long Song,Andrea Levy
2010,Longlist,Secret Son,Laila Lalami
2010,Longlist,Small Wars,Sadie Jones
2010,Longlist,This Is How,M.J. Hyland
2010,Longlist,The Twisted Heart,Rebecca Gowers
2010,Longlist,The Way Things Look To Me,Roopa Farooki
2010,Longlist,Hearts And Minds,Amanda Craig
2010,Longlist,Savage Lands,Clare Clark
2010,Longlist,The Rehearsal,Eleanor Catton
2009,Shortlist,Burnt Shadows,Kamila Shamsie
2009,Winner,Home,Marilynne Robinson
2009,Shortlist,The Invention Of Everything Else,Samantha Hunt
